Year,USD,GBP,EUR,RUB,JPY,HKD,CNY,SGD,AUD,INR,IDR,MYR,NZD,KRW,TWD,CAD,BRL,MXN,CLP,ILS,EGP
2023,1,1.243642,1.081574,0.011855,0.007134,0.127733,0.141287,0.744682,0.664403,0.012109,0.000066,0.219471,0.614173,0.000766,0.032106,0.740968,0.200341,0.056437,0.001194,0.271585,0.032612
2022,1,1.236038,1.053049,0.014955,0.007652,0.127707,0.148787,0.72533,0.694542,0.012733,0.000067,0.227484,0.635534,0.000776,0.033615,0.768834,0.19391,0.049738,0.001149,0.297927,0.053041
2021,1,1.375866,1.18274,0.013577,0.009108,0.128649,0.155069,0.744199,0.751169,0.013526,0.00007,0.241291,0.707233,0.000874,0.035803,0.797857,0.185645,0.049317,0.00132,0.309754,0.063695
2020,1,1.283893,1.142196,0.013895,0.009372,0.128932,0.145028,0.725404,0.691229,0.0135,0.000069,0.238155,0.650977,0.000849,0.033973,0.746558,0.195844,0.046855,0.001267,0.290926,0.063232
2019,1,1.276061,1.119475,0.015458,0.009178,0.127627,0.144755,0.732986,0.69509,0.014202,0.000071,0.241404,0.658903,0.000858,0.032354,0.753678,0.253961,0.051938,0.001425,0.280707,0.059527
2018,1,1.335148,1.180955,0.01599,0.009056,0.127589,0.151317,0.741371,0.747858,0.014641,0.00007,0.247912,0.692399,0.000909,0.033183,0.772137,0.275329,0.052038,0.001562,0.278369,0.056122
2017,1,1.288161,1.129686,0.017141,0.008915,0.128324,0.14801,0.724355,0.766701,0.01536,0.000075,0.232708,0.710906,0.000885,0.032865,0.771112,0.31357,0.053034,0.001542,0.278023,0.056069
2016,1,1.355038,1.106903,0.015007,0.009229,0.128827,0.150561,0.724708,0.744208,0.014883,0.000075,0.241674,0.697655,0.000863,0.031025,0.755526,0.28877,0.053646,0.00148,0.260531,0.106976
2015,1,1.528752,1.109513,0.016473,0.008261,0.128992,0.15913,0.727527,0.752015,0.015592,0.000075,0.257196,0.699228,0.000884,0.031492,0.783047,0.304531,0.063121,0.001532,0.25735,0.12971
2014,1,1.647662,1.328501,0.026511,0.009476,0.12895,0.162321,0.789486,0.902867,0.016393,0.000084,0.30581,0.830699,0.00095,0.032998,0.905972,0.426195,0.075246,0.001755,0.280065,0.141124
